[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 1. 1. 0.],42.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 0. 2. 0.],18.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 1. 0. 0.],197.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 0. 1. 0.],91.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 1. 1. 0.],81.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 0. 2. 0.],12.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 1. 1. 0.],579.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 0. 2. 0.],10.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 1. 2. 0.],13.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 1. 1. 0.],5209.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 0. 2. 0.],9.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 1. 2. 0.],21.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 1. 2. 0.],14.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 1. 2. 0.],11436.0
[0. 1. 0. 0. 2. 0.][0. 2. 0. 0. 0. 0.][0. 0. 0. 0. 0. 0.],0.0
